baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_0913200	985.113864684301	-1.17555820385081	0.1954269934448	-6.01533177750521	1.79518640959725e-09	4.36028699058327e-08
PF3D7_1426100	649.379207055021	-1.17463504753693	0.216216306203324	-5.43268483382718	5.55124041361565e-08	1.00054499835882e-06
PF3D7_0103200	532.984463454894	-1.17368889156711	0.220042010820431	-5.33393094887191	9.61090832892342e-08	1.67251898965403e-06
PF3D7_0817800	113.007811458365	-1.17076971977922	0.345681350753668	-3.3868466355696	0.000707008984845857	0.00450851262277345
PF3D7_0414300	157.880902491284	-1.16747541635307	0.297523916386521	-3.92397166094162	8.71009859447869e-05	0.000740847711912401
PF3D7_0722000	135.00939033949	-1.1645469649175	0.314202380040613	-3.70635946413574	0.000210259820710398	0.00159166684277771
PF3D7_1204500	184.661469566333	-1.16343816594439	0.29559359112477	-3.9359383994672	8.28722299711863e-05	0.00071288952372941
PF3D7_1403400	87.9205035131159	-1.15920650386265	0.372135476943046	-3.11501207405726	0.00183937380532184	0.00984032488076772
PF3D7_1341300	1944.55563906474	-1.15908094820855	0.193573489327765	-5.98780831111617	2.1268751517783e-09	5.08435102072475e-08
PF3D7_1441200	533.422633173645	-1.15204130356011	0.26311594789779	-4.37845487042706	1.19523684508613e-05	0.000130186229025928
PF3D7_1206000	127.605413519253	-1.14933531183705	0.330040979513211	-3.48240183243984	0.000496937384799143	0.00331924941434957
PF3D7_0307200	1934.83604407872	-1.14848063804786	0.184327803009146	-6.23064247117879	4.64526153928059e-10	1.27101071755497e-08
PF3D7_1317800	1853.21156649614	-1.14128798088449	0.212521156088137	-5.37023231894701	7.86352742201376e-08	1.40063300199163e-06
PF3D7_1037600	333.01786649194	-1.14075529563508	0.235056571629849	-4.85310956305219	1.21540498167796e-06	1.6543800097784e-05
PF3D7_1406400	145.994464789919	-1.13149322403775	0.294386244488035	-3.84356689629138	0.000121258925864015	0.000988793610905485
PF3D7_1469800	177.30495411062	-1.12831859685052	0.277600133716725	-4.06454630170283	4.81259848650507e-05	0.000443383819994037
PF3D7_0817900	838.509718551952	-1.12800511118975	0.279290718332394	-4.0388206164706	5.37206275394944e-05	0.000487024132304158
PF3D7_0508000	494.284024701597	-1.12423012574191	0.253783728551218	-4.4298747290058	9.4287842534916e-06	0.000104964554116076
PF3D7_1325000	129.242310165064	-1.12319047929421	0.306523451333946	-3.66428889667737	0.000248026709327482	0.00184678248158266
PF3D7_0926700	359.09866607668	-1.12186262237618	0.230204545383863	-4.87332958828198	1.09732925438877e-06	1.50122574501018e-05
PF3D7_1019400	1000.39909024754	-1.10945096154045	0.206787184408311	-5.36518239616717	8.08674584279875e-08	1.4291828645133e-06
PF3D7_0312800	1164.54138278602	-1.10812925963557	0.207090139972036	-5.35095132865912	8.74930534926068e-08	1.53940440341073e-06
PF3D7_1357100	3001.23171207128	-1.10686444664097	0.197776114717519	-5.59655268899324	2.18655891217708e-08	4.28075455996046e-07
PF3D7_1439900	1741.07871444378	-1.10028988929685	0.201972199132128	-5.44772941040789	5.10168916678751e-08	9.26874887821955e-07
PF3D7_1024300	159.024739538236	-1.0979100109382	0.291218978563321	-3.77004965938193	0.000163215067953038	0.00126938842233339
PF3D7_1459800	650.744903504786	-1.09536572112877	0.216635486597223	-5.05626173409584	4.27554452364929e-07	6.45166884598507e-06
PF3D7_1438900	811.566338543844	-1.09423413079182	0.219253747297286	-4.99072031507014	6.01545453318434e-07	8.78527154010395e-06
PF3D7_0210100	1121.3846993154	-1.08730380513736	0.194021450352287	-5.60403915733613	2.09413365807673e-08	4.11755630951711e-07
PF3D7_0503800	839.404539248003	-1.08653412386482	0.220700502604289	-4.92311576568068	8.5177029350094e-07	1.19775253036572e-05
PF3D7_1424100	2378.38471185614	-1.08466884271461	0.184147754398884	-5.89020944759992	3.85706455619234e-09	8.67266693773544e-08
PF3D7_0528400	114.929794865776	-1.08020479742216	0.34676574224284	-3.11508510164677	0.00183891846851308	0.00984032488076772
PF3D7_0705700	1029.8204120972	-1.0789723815733	0.195107591354526	-5.53014044242244	3.19974509555734e-08	6.05551759334227e-07
PF3D7_1130500	140.806388562236	-1.07879366857658	0.303206862774231	-3.5579460791422	0.00037376601320122	0.00261982288882707
PF3D7_1109900	890.705858969676	-1.0774199411136	0.21274733454488	-5.06431699094359	4.09867160325268e-07	6.22614261604471e-06
PF3D7_0528000	236.322468103465	-1.07620693569531	0.266080927358373	-4.04466019560212	5.23990690831901e-05	0.000476947037626952
